Gene	Mean	Variance	CV2
4932443L11Rik	NA	0.002	NA
4933400F03Rik	NA	0.006	NA
4933404O12Rik	NA	0.006	NA
4933405L10Rik	NA	0.001	NA
4933406C10Rik	NA	0.015	NA
4933406I18Rik	NA	0.015	NA
4933406P04Rik	NA	0.001	NA
4933407K13Rik	NA	0.018	NA
4933407L21Rik	NA	0.003	NA
4933408B17Rik	NA	0.015	NA
4933411K20Rik	NA	0.046	NA
4933411O13Rik	NA	0.001	NA
4933413G19Rik	NA	0.013	NA
4933413J09Rik	NA	0	NA
4933413L06Rik	NA	0.001	NA
4933415A04Rik	NA	0.004	NA
4933417D19Rik	NA	0.001	NA
4933421O10Rik	NA	0.037	NA
4933423P22Rik	NA	0.001	NA
4933426D04Rik	NA	0.002	NA
4933426M11Rik	NA	0.049	NA
4933427D06Rik	NA	0	NA
4933427D14Rik	NA	0.169	NA
4933427G17Rik	NA	0.003	NA
4933428G20Rik	NA	0.001	NA
4933430I17Rik	NA	0.001	NA
4933431E20Rik	NA	0.066	NA
4933431K23Rik	NA	0.001	NA
4933433G15Rik	NA	0.003	NA
4933434E20Rik	NA	0.086	NA
4933436C20Rik	NA	0.003	NA
4933439C10Rik	NA	0.112	NA
4933439G12Rik	NA	0.001	NA
4933439K11Rik	NA	0.002	NA
5031414D18Rik	NA	0.003	NA
5031415H12Rik	NA	0.004	NA
5031425E22Rik	NA	0.039	NA
5031434O11Rik	NA	0.062	NA
5031439G07Rik	NA	0.136	NA
5033403F01Rik	NA	0.001	NA
5033411D12Rik	NA	0.002	NA
5033417F24Rik	NA	0.002	NA
5033430I15Rik	NA	0.004	NA
5330413P13Rik	NA	0.005	NA
5330416C01Rik	NA	0.004	NA
5330417C22Rik	NA	0.059	NA
5330426P16Rik	NA	0.008	NA
5330430P22Rik	NA	0.004	NA
5330434G04Rik	NA	0.172	NA
5330438I03Rik	NA	0.002	NA
5330439A09Rik	NA	0.001	NA
5330439K02Rik	NA	0.017	NA
5430400D12Rik	NA	0.019	NA
5430402O13Rik	NA	0.003	NA
5430403G16Rik	NA	0.021	NA
5430405H02Rik	NA	0.038	NA
5430416N02Rik	NA	0.019	NA
5430416O09Rik	NA	0.002	NA
5430417L22Rik	NA	0.023	NA
5430427O19Rik	NA	0.001	NA
5430435G22Rik	NA	0.001	NA
5530401A14Rik	NA	0.001	NA
5530601H04Rik	NA	0.077	NA
5730405O15Rik	NA	0.006	NA
5730409E04Rik	NA	0.042	NA
5730412P04Rik	NA	0.001	NA
5730420D15Rik	NA	0.001	NA
5730422E09Rik	NA	0.002	NA
5730455P16Rik	NA	0.101	NA
5730480H06Rik	NA	0.009	NA
5730507C01Rik	NA	0.001	NA
5730508B09Rik	NA	0.01	NA
5730522E02Rik	NA	0.019	NA
5730559C18Rik	NA	0.001	NA
5730577I03Rik	NA	0.008	NA
5830403L16Rik	NA	0.002	NA
5830415F09Rik	NA	0.004	NA
5830416P10Rik	NA	0.008	NA
5830418K08Rik	NA	0.149	NA
5830418P13Rik	NA	0.001	NA
5830428H23Rik	NA	0.348	NA
5830432E09Rik	NA	0.001	NA
5830444B04Rik	NA	0.004	NA
5830454E08Rik	NA	0.008	NA
5830472F04Rik	NA	0.001	NA
5930412G12Rik	NA	0.003	NA
5930422O12Rik	NA	0.003	NA
6030408B16Rik	NA	0	NA
6030419C18Rik	NA	0.021	NA
6030442K20Rik	NA	0.007	NA
6030443J06Rik	NA	0.004	NA
6030445D17Rik	NA	0.001	NA
6030455H03Rik	NA	0	NA
6030458C11Rik	NA	0.06	NA
6030468B19Rik	NA	0.001	NA
6230400D17Rik	NA	0.001	NA
6330403A02Rik	NA	0.056	NA
6330403K07Rik	NA	0.122	NA
6330403L08Rik	NA	0.008	NA
6330403N20Rik	NA	0.005	NA
6330408A02Rik	NA	0.017	NA
6330409D20Rik	NA	0.001	NA
6330416G13Rik	NA	0.011	NA
6330418K02Rik	NA	0.007	NA
6330419J24Rik	NA	0.018	NA
6330562C20Rik	NA	0.002	NA
6430503K07Rik	NA	0.002	NA
6430531B16Rik	NA	0.004	NA
6430548M08Rik	NA	0.067	NA
6430550D23Rik	NA	0.006	NA
6430562O15Rik	NA	0.003	NA
6430571L13Rik	NA	0.003	NA
6430573F11Rik	NA	0.013	NA
6430590A07Rik	NA	0.065	NA
6530401F13Rik	NA	0.003	NA
6530402F18Rik	NA	0.009	NA
6530403H02Rik	NA	0.005	NA
6530409C15Rik	NA	0.008	NA
6720401G13Rik	NA	0.06	NA
6720427I07Rik	NA	0.024	NA
6720483E21Rik	NA	0.005	NA
6720489N17Rik	NA	0.002	NA
6820408C15Rik	NA	0.011	NA
7530420F21Rik	NA	0.004	NA
8030453O22Rik	NA	0.006	NA
8030462N17Rik	NA	0.008	NA
8430403D17Rik	NA	0.001	NA
8430408G22Rik	NA	0.005	NA
8430419L09Rik	NA	0.091	NA
8430427H17Rik	NA	0.028	NA
8430429K09Rik	NA	0.027	NA
8430432A02Rik	NA	0.002	NA
9030025P20Rik	NA	0.005	NA
9030407P20Rik	NA	0.004	NA
9030612E09Rik	NA	0.003	NA
9030617O03Rik	NA	0.004	NA
9030624G23Rik	NA	0.001	NA
9030624J02Rik	NA	0.047	NA
9130008F23Rik	NA	0	NA
9130011E15Rik	NA	0.005	NA
9130017K11Rik	NA	0.002	NA
